Jobkey,Jobtitle,City,State,Country,FormattedLocation,Date,Snippet,URL,Latitude,Longitude,FormattedRelativeTime
38d32e3a0940ea01,Manager - Data & Analytics,Bangalore,KA,IN,"Bangalore, Karnataka","Tue, 11 Apr 2017 10:18:23 GMT","Statistical analyses, advanced data visualization, data mining, and data cleansing/transformation). Lead all data related activities (data discovery and...",http://www.indeed.co.in/viewjob?jk=38d32e3a0940ea01&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1opyxPpXQcan26inlkhipd3TyDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0u86ibqe9ea8,12.975275,77.5989,7 hours ago
c3c219c86be3e331,Data Engineer,Bangalore,KA,IN,"Bangalore, Karnataka","Thu, 23 Mar 2017 10:15:16 GMT","Understands logical and physical data models, big data storage architecture, data modeling methodologies, metadata management, master data management, data...",http://www.indeed.co.in/viewjob?jk=c3c219c86be3e331&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1opyxPpXQcan26inlkhipd3TyDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0u86ibqe9ea8,12.975275,77.5989,19 days ago
81e95f3b992c322c,Sr Data Scientist,Bangalore,KA,IN,"Bangalore, Karnataka","Thu, 06 Apr 2017 10:20:32 GMT",Previous experience working with large data sets using big data technologies including Greenplum or other MPP database systems....,http://www.indeed.co.in/viewjob?jk=81e95f3b992c322c&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1opyxPpXQcan26inlkhipd3TyDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0u86ibqe9ea8,12.975275,77.5989,5 days ago
1dc272c43b7e6696,Data Scientist,Hyderabad,AP,IN,"Hyderabad, Andhra Pradesh","Wed, 01 Feb 2017 10:15:49 GMT",We are looking for hands-on data scientists to be part of the Data Science team within Customer Intelligence. The Customer Intelligence team is made up of data...,http://www.indeed.co.in/viewjob?jk=1dc272c43b7e6696&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1opyxPpXQcan26inlkhipd3TyDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0u86ibqe9ea8,17.373627,78.47253,30+ days ago
2e49466ea53825a6,"Sr Data & Information Architect, DIG IT-Finance",Bangalore,KA,IN,"Bangalore, Karnataka","Fri, 31 Mar 2017 10:17:13 GMT",Implement Data warehouse &amp; Big/Small data designs with automated MDM and data quality capabilities. Integrate domain data knowledge into development of data...,http://www.indeed.co.in/viewjob?jk=2e49466ea53825a6&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1opyxPpXQcan26inlkhipd3TyDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0u86ibqe9ea8,12.975275,77.5989,11 days ago
88a92f53e18cc1ac,Data Scientist for a Funded Startup at Delhi,Delhi,DL,IN,"Delhi, Delhi","Sat, 11 Feb 2017 16:01:35 GMT",Data Scientist Required Location:. We are hiring &quot; Data Scientist &quot; for funded startup at NCR and Delhi. O Time Series Analysis Data Science....,http://www.indeed.co.in/viewjob?jk=88a92f53e18cc1ac&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1opyxPpXQcan26inlkhipd3TyDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0u86ibqe9ea8,28.664835,77.21429,30+ days ago
659679d775126307,Data Scientist: Cognitive Computing,,,IN,India,"Mon, 27 Mar 2017 20:08:29 GMT","Streaming Data Analytics. Experience in marshalling and analyzing large amounts of data Experience manipulating large volumes of data, using at least one of the...",http://www.indeed.co.in/viewjob?jk=659679d775126307&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1opyxPpXQcan26inlkhipd3TyDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0u86ibqe9ea8,,,14 days ago
4d91c4f48dff8cf1,Senior Research Analyst - Global Financial Institutions Center,New Delhi,DL,IN,"New Delhi, Delhi","Fri, 31 Mar 2017 18:48:15 GMT",Data Scientists are creative problem solvers who love all things data. Understanding of the analytics and corresponding compatible data needs;...,http://www.indeed.co.in/viewjob?jk=4d91c4f48dff8cf1&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1opyxPpXQcan26inlkhipd3TyDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0u86ibqe9ea8,28.634615,77.21978,10 days ago
9a810205c40f8f29,Data Scientist,Bangalore,KA,IN,"Bangalore, Karnataka","Sat, 08 Apr 2017 04:39:32 GMT","Experience in applying everything from logistic regression to more advanced methods like random forest, gradient boosting and deep neural nets to real problems...",http://www.indeed.co.in/viewjob?jk=9a810205c40f8f29&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1opyxPpXQcan26inlkhipd3TyDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0u86ibqe9ea8,12.975275,77.5989,3 days ago
71f89200e0425516,Senior Research Engineer/Data Scientist Bangalore,Bangalore,KA,IN,"Bangalore, Karnataka","Tue, 21 Mar 2017 21:49:50 GMT",Senior Research Engineer / Data Scientist. We are looking for passionate and self-driven research engineers/ data scientists to join our Bangalore centre....,http://www.indeed.co.in/viewjob?jk=71f89200e0425516&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1opyxPpXQcan26inlkhipd3TyDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0u86ibqe9ea8,12.975275,77.5989,20 days ago
86eff5021e6fd3a9,Data Scientist,,,IN,India,"Wed, 01 Mar 2017 11:58:47 GMT","The Data Scientist &amp; Data Warehouse Expert will work on a team of highly motivated data analysts and data scientists responsible for the development, deployment...",http://www.indeed.co.in/viewjob?jk=86eff5021e6fd3a9&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1opyxPpXQcan26inlkhipd3TyDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0u86ibqe9ea8,,,30+ days ago
62780ee985681ad2,R Programmer,Noida,UP,IN,"Noida, Uttar Pradesh","Wed, 22 Mar 2017 09:58:10 GMT","As a Data Scientist responsible for R programming, you will perform analysis using R statistical programming language....",http://www.indeed.co.in/viewjob?jk=62780ee985681ad2&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1opyxPpXQcan26inlkhipd3TyDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0u86ibqe9ea8,28.57967,77.32967,20 days ago
648c02ce8eaeac84,Data Scientist,Delhi,DL,IN,"Delhi, Delhi","Sat, 01 Apr 2017 05:11:07 GMT","Java, Scala, C , JavaScript, Python, R, SQL, Julia- Experience with open source data science tool kits and technologies- Apache (Hadoop, Pig, Spark, Cassandra,...",http://www.indeed.co.in/viewjob?jk=648c02ce8eaeac84&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1opyxPpXQcan26inlkhipd3TyDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0u86ibqe9ea8,28.664835,77.21429,10 days ago
ed7b73cda16f722f,Data Scientist (Machine Learning),,,IN,India,"Wed, 29 Mar 2017 05:05:49 GMT",We are looking for an exceptional data analyst who will work with a team of analysts to synthesize and leverage our massive data set of student learning data to...,http://www.indeed.co.in/viewjob?jk=ed7b73cda16f722f&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1opyxPpXQcan26inlkhipd3TyDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0u86ibqe9ea8,,,13 days ago
edb504454a9f7d8f,R Programmer,Noida,UP,IN,"Noida, Uttar Pradesh","Thu, 16 Mar 2017 10:03:16 GMT","As a Data Scientist responsible for R programming, you will perform analysis using R statistical programming language....",http://www.indeed.co.in/viewjob?jk=edb504454a9f7d8f&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1opyxPpXQcan26inlkhipd3TyDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0u86ibqe9ea8,28.57967,77.32967,26 days ago
d79e42eefdbf4785,Data Scientist,Gurgaon,HR,IN,"Gurgaon, Haryana","Tue, 11 Apr 2017 08:34:08 GMT","Work on large data sets of structured, semi-structured data to discover data insights. 5+ years of experience of which 3 year should be as a data scientist....",http://www.indeed.co.in/viewjob?jk=d79e42eefdbf4785&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1opyxPpXQcan26inlkhipd3TyDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0u86ibqe9ea8,28.464285,77.03297,8 hours ago
e18dabeea8e48fef,Machine Learning Engineer,Hyderabad,AP,IN,"Hyderabad, Andhra Pradesh","Fri, 17 Mar 2017 08:20:57 GMT",Create language models from petabytes of text data in different languages. You will also get an opportunity to work on Big Data and employ ML techniques in...,http://www.indeed.co.in/viewjob?jk=e18dabeea8e48fef&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,17.373627,78.47253,25 days ago
ac6663a90377f9c5,Data Scientist,Hyderabad,AP,IN,"Hyderabad, Andhra Pradesh","Thu, 16 Feb 2017 17:34:35 GMT","POC/ POV / IP in Data Science and Big Data Analytics. Of complex data sets using data visualization such as D3JS, Tableau, Open....",http://www.indeed.co.in/viewjob?jk=ac6663a90377f9c5&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,17.373627,78.47253,30+ days ago
bb261c0c542f384e,Data Scientist,Chennai,TN,IN,"Chennai, Tamil Nadu","Wed, 15 Feb 2017 06:20:10 GMT",Must have solid understanding of statistical modeling/machine learning/ data mining/ recommender systems concepts....,http://www.indeed.co.in/viewjob?jk=bb261c0c542f384e&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,13.085165,80.27473,30+ days ago
b8193f8772dd054d,Senior Data Scientist,Chennai,TN,IN,"Chennai, Tamil Nadu","Wed, 15 Feb 2017 06:20:04 GMT","Strong understanding of Algorithms, Data Structures and Machine Learning / Data Mining. Experience with Machine Learning / Data Mining open source tools,...",http://www.indeed.co.in/viewjob?jk=b8193f8772dd054d&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,13.085165,80.27473,30+ days ago
3513a964189c3b55,Data Analyst / Data Science (PRO Team),Gurgaon,HR,IN,"Gurgaon, Haryana","Thu, 09 Mar 2017 18:06:35 GMT",Job Description We are looking for a Data Scientist to join Uber's Operations team to drive analytical insights for our APAC cities....,http://www.indeed.co.in/viewjob?jk=3513a964189c3b55&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,28.464285,77.03297,30+ days ago
7fa12a8131edbbfa,Data Scientist,Delhi,DL,IN,"Delhi, Delhi","Tue, 21 Mar 2017 13:18:38 GMT","As a Data Scientist, you will:. Using best-in-class data science approaches. Data environments and tools such as Hadoop and/or Spark preferred....",http://www.indeed.co.in/viewjob?jk=7fa12a8131edbbfa&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,28.664835,77.21429,21 days ago
ae367db047859360,Data Scientist II,Bangalore,KA,IN,"Bangalore, Karnataka","Thu, 23 Mar 2017 10:29:09 GMT","Data Scientist II. Quantitative analysis, data. The Information Scientist III also. The Information Scientist III contributes to....",http://www.indeed.co.in/viewjob?jk=ae367db047859360&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,12.975275,77.5989,19 days ago
868ffe242d332f70,IOT Data Scientist and Analytics,Bangalore,KA,IN,"Bangalore, Karnataka","Thu, 16 Feb 2017 11:06:14 GMT",What you'll be doing - Use streaming analytics and machine learning to enable our customers to change their entire operations of enterprise - Tackle fun...,http://www.indeed.co.in/viewjob?jk=868ffe242d332f70&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,12.975275,77.5989,30+ days ago
38d32e3a0940ea01,Manager - Data & Analytics,Bangalore,KA,IN,"Bangalore, Karnataka","Tue, 11 Apr 2017 10:18:23 GMT","Statistical analyses, advanced data visualization, data mining, and data cleansing/transformation). Lead all data related activities (data discovery and...",http://www.indeed.co.in/viewjob?jk=38d32e3a0940ea01&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,12.975275,77.5989,7 hours ago
c3c219c86be3e331,Data Engineer,Bangalore,KA,IN,"Bangalore, Karnataka","Thu, 23 Mar 2017 10:15:16 GMT","Understands logical and physical data models, big data storage architecture, data modeling methodologies, metadata management, master data management, data...",http://www.indeed.co.in/viewjob?jk=c3c219c86be3e331&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,12.975275,77.5989,19 days ago
81e95f3b992c322c,Sr Data Scientist,Bangalore,KA,IN,"Bangalore, Karnataka","Thu, 06 Apr 2017 10:20:32 GMT",Previous experience working with large data sets using big data technologies including Greenplum or other MPP database systems....,http://www.indeed.co.in/viewjob?jk=81e95f3b992c322c&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,12.975275,77.5989,5 days ago
1dc272c43b7e6696,Data Scientist,Hyderabad,AP,IN,"Hyderabad, Andhra Pradesh","Wed, 01 Feb 2017 10:15:49 GMT",We are looking for hands-on data scientists to be part of the Data Science team within Customer Intelligence. The Customer Intelligence team is made up of data...,http://www.indeed.co.in/viewjob?jk=1dc272c43b7e6696&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,17.373627,78.47253,30+ days ago
2e49466ea53825a6,"Sr Data & Information Architect, DIG IT-Finance",Bangalore,KA,IN,"Bangalore, Karnataka","Fri, 31 Mar 2017 10:17:13 GMT",Implement Data warehouse &amp; Big/Small data designs with automated MDM and data quality capabilities. Integrate domain data knowledge into development of data...,http://www.indeed.co.in/viewjob?jk=2e49466ea53825a6&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,12.975275,77.5989,11 days ago
88a92f53e18cc1ac,Data Scientist for a Funded Startup at Delhi,Delhi,DL,IN,"Delhi, Delhi","Sat, 11 Feb 2017 16:01:35 GMT",Data Scientist Required Location:. We are hiring &quot; Data Scientist &quot; for funded startup at NCR and Delhi. O Time Series Analysis Data Science....,http://www.indeed.co.in/viewjob?jk=88a92f53e18cc1ac&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,28.664835,77.21429,30+ days ago
659679d775126307,Data Scientist: Cognitive Computing,,,IN,India,"Mon, 27 Mar 2017 20:08:29 GMT","Streaming Data Analytics. Experience in marshalling and analyzing large amounts of data Experience manipulating large volumes of data, using at least one of the...",http://www.indeed.co.in/viewjob?jk=659679d775126307&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,,,14 days ago
4d91c4f48dff8cf1,Senior Research Analyst - Global Financial Institutions Center,New Delhi,DL,IN,"New Delhi, Delhi","Fri, 31 Mar 2017 18:48:15 GMT",Data Scientists are creative problem solvers who love all things data. Understanding of the analytics and corresponding compatible data needs;...,http://www.indeed.co.in/viewjob?jk=4d91c4f48dff8cf1&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,28.634615,77.21978,10 days ago
9a810205c40f8f29,Data Scientist,Bangalore,KA,IN,"Bangalore, Karnataka","Sat, 08 Apr 2017 04:39:32 GMT","Experience in applying everything from logistic regression to more advanced methods like random forest, gradient boosting and deep neural nets to real problems...",http://www.indeed.co.in/viewjob?jk=9a810205c40f8f29&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,12.975275,77.5989,3 days ago
71f89200e0425516,Senior Research Engineer/Data Scientist Bangalore,Bangalore,KA,IN,"Bangalore, Karnataka","Tue, 21 Mar 2017 21:49:50 GMT",Senior Research Engineer / Data Scientist. We are looking for passionate and self-driven research engineers/ data scientists to join our Bangalore centre....,http://www.indeed.co.in/viewjob?jk=71f89200e0425516&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,12.975275,77.5989,20 days ago
86eff5021e6fd3a9,Data Scientist,,,IN,India,"Wed, 01 Mar 2017 11:58:47 GMT","The Data Scientist &amp; Data Warehouse Expert will work on a team of highly motivated data analysts and data scientists responsible for the development, deployment...",http://www.indeed.co.in/viewjob?jk=86eff5021e6fd3a9&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,,,30+ days ago
62780ee985681ad2,R Programmer,Noida,UP,IN,"Noida, Uttar Pradesh","Wed, 22 Mar 2017 09:58:10 GMT","As a Data Scientist responsible for R programming, you will perform analysis using R statistical programming language....",http://www.indeed.co.in/viewjob?jk=62780ee985681ad2&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,28.57967,77.32967,20 days ago
648c02ce8eaeac84,Data Scientist,Delhi,DL,IN,"Delhi, Delhi","Sat, 01 Apr 2017 05:11:07 GMT","Java, Scala, C , JavaScript, Python, R, SQL, Julia- Experience with open source data science tool kits and technologies- Apache (Hadoop, Pig, Spark, Cassandra,...",http://www.indeed.co.in/viewjob?jk=648c02ce8eaeac84&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,28.664835,77.21429,10 days ago
ed7b73cda16f722f,Data Scientist (Machine Learning),,,IN,India,"Wed, 29 Mar 2017 05:05:49 GMT",We are looking for an exceptional data analyst who will work with a team of analysts to synthesize and leverage our massive data set of student learning data to...,http://www.indeed.co.in/viewjob?jk=ed7b73cda16f722f&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,,,13 days ago
edb504454a9f7d8f,R Programmer,Noida,UP,IN,"Noida, Uttar Pradesh","Thu, 16 Mar 2017 10:03:16 GMT","As a Data Scientist responsible for R programming, you will perform analysis using R statistical programming language....",http://www.indeed.co.in/viewjob?jk=edb504454a9f7d8f&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,28.57967,77.32967,26 days ago
d79e42eefdbf4785,Data Scientist,Gurgaon,HR,IN,"Gurgaon, Haryana","Tue, 11 Apr 2017 08:34:08 GMT","Work on large data sets of structured, semi-structured data to discover data insights. 5+ years of experience of which 3 year should be as a data scientist....",http://www.indeed.co.in/viewjob?jk=d79e42eefdbf4785&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,28.464285,77.03297,8 hours ago
491263b98c974209,Data Scientist,Pune,MH,IN,"Pune, Maharashtra","Sat, 01 Apr 2017 05:11:06 GMT","The primary responsibility would be to use statistical techniques to help with BI reporting, data mining and implementation of advanced analytical algorithms....",http://www.indeed.co.in/viewjob?jk=491263b98c974209&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1op_ICI0hfIa4U1jtYBwW8fFGDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0uc4tbia0f5u,18.51923,73.85165,10 days ago
ac6663a90377f9c5,Data Scientist,Hyderabad,AP,IN,"Hyderabad, Andhra Pradesh","Thu, 16 Feb 2017 17:34:35 GMT","POC/ POV / IP in Data Science and Big Data Analytics. Of complex data sets using data visualization such as D3JS, Tableau, Open....",http://www.indeed.co.in/viewjob?jk=ac6663a90377f9c5&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8LOQhlbrWfRyxT2DlRKkuUR3Dk4yqOLGp5f8tz_Q1opxZMHVdvbojakbjGXyRDJruDBfhE8IgzO_q_LQgY-_NZ&indpubnum=3864921654995829&atk=1bdf0ug65br21eif,17.373627,78.47253,30+ days ago
